nearest:B 00:24:05.42 +14:10:23.7 0.0 0.056 0.889 0.037
nearest:B 00:24:30.75 -10:42:20.7 0.0 0.034 0.931 0.034
nearest:B 00:24:42.70 +14:49:28.5 0.03 0.0 0.97 0.0
nearest:B 00:24:52.24 +14:48:04.2 0.0 0.0 1.0 0.0
nearest:B 00:25:15.14 -01:06:42.3 0.023 0.023 0.932 0.023
nearest:B 00:25:36.92 -00:58:11.3 0.059 0.029 0.882 0.0
nearest:B 00:25:38.16 +14:49:48.5 0.028 0.0 0.972 0.0
nearest:B 00:25:49.03 -00:49:41.4 0.054 0.068 0.838 0.014
nearest:B 00:25:52.53 +15:30:45.9 0.018 0.125 0.804 0.018
nearest:B 00:26:25.26 -10:02:10.4 0.0 0.0 0.893 0.0
nearest:B 00:26:38.45 +00:33:33.7 0.0 0.074 0.889 0.0
nearest:B 00:26:47.95 +00:03:48.9 0.143 0.0 0.857 0.0
nearest:B 00:27:03.83 +00:27:37.3 0.0 0.032 0.935 0.032
nearest:B 00:27:08.28 -09:56:08.7 0.0 0.018 0.964 0.018
nearest:B 00:27:27.53 +00:11:46.1 0.051 0.017 0.881 0.017
nearest:B 00:27:42.88 -09:51:05.2 0.054 0.071 0.804 0.0
nearest:B 00:28:20.53 -00:13:04.3 0.0 0.0 0.897 0.0
nearest:B 00:28:22.62 -10:40:36.8 0.0 0.0 1.0 0.0
nearest:B 00:28:33.80 +00:48:50.6 0.031 0.0 0.953 0.016
nearest:B 00:28:51.28 -00:17:09.6 0.0 0.029 0.943 0.029
nearest:B 00:29:36.30 -09:01:48.1 0.04 0.0 0.88 0.04
nearest:B 00:30:18.20 -00:30:08.1 0.0 0.0 0.957 0.043
nearest:B 00:30:25.65 -00:42:01.8 0.031 0.031 0.906 0.0
nearest:B 00:30:27.49 +00:00:46.1 0.0 0.0 0.847 0.0
nearest:B 00:31:00.26 +01:14:38.3 0.017 0.086 0.879 0.0
nearest:B 00:31:22.50 +00:18:43.8 0.0 0.0 0.97 0.0
nearest:B 00:31:56.77 -11:00:56.9 0.0 0.0 1.0 0.0
